Name,Rating,Hourly Taxed,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Baggio,91,422750,,,,,,,,,,,,,,,,,,,,,,,,,
Johan Cruyff,91,2801550,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Maradona,91,1691000,,,,,,,,,,,,,,,,,,,,,,,,,
Pele,91,2937400,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Roman Riquelme,91,405650,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Lahm,91,854050,,,,,,,,,,,,,,,,,,,,,,,,,
Bastian Schweinsteiger,91,969000,,,,,,,,,,,,,,,,,,,,,,,,,
Petr Cech,91,506350,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Torres,91,1548500,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Pirlo,90,391083.65,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Alberto Torres,90,603250,,,,,,,,,,,,,,,,,,,,,,,,,
Garrincha,90,997500,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Dalglish,90,1007000,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Essien,90,1425000,,,,,,,,,,,,,,,,,,,,,,,,,
Pep Guardiola,90,562400,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Schmeichel,90,209475,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Ferdinand,90,1292950,,,,,,,,,,,,,,,,,,,,,,,,,
Puyol,90,341050,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Nesta,90,231800,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Sebastian Veron,90,608000,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Rijkaard,90,679250,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Petit,90,826500,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Overmars,90,436050,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Makelele,90,816050,,,,,,,,,,,,,,,,,,,,,,,,,
Jari Litmanen,90,215175,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Lampard,90,425600,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Keane,90,415150,,,,,,,,,,,,,,,,,,,,,,,,,
Deco,90,282150,,,,,,,,,,,,,,,,,,,,,,,,,
Rui Costa,90,346750,,,,,,,,,,,,,,,,,,,,,,,,,
Gianfranco Zola,90,553375,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Vieri,90,190000,,,,,,,,,,,,,,,,,,,,,,,,,
Henrik Larsson,90,551000,,,,,,,,,,,,,,,,,,,,,,,,,
Filippo Inzaghi,90,160550,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Hernandez,90,608000,,,,,,,,,,,,,,,,,,,,,,,,,
Hernan Crespo,90,665000,,,,,,,,,,,,,,,,,,,,,,,,,
Ruud van Nistelrooy,90,177650,,,,,,,,,,,,,,,,,,,,,,,,,
Hristo Stoichkov,90,565250,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Figo,90,631750,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Del Piero,90,612750,,,,,,,,,,,,,,,,,,,,,,,,,
Emilio Butragueno,90,964250,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Bergkamp,90,389500,,,,,,,,,,,,,,,,,,,,,,,,,
Thierry Henry,90,720100,,,,,,,,,,,,,,,,,,,,,,,,,
Rivaldo,90,427500,,,,,,,,,,,,,,,,,,,,,,,,,
George Best,90,928150,,,,,,,,,,,,,,,,,,,,,,,,,
Ronaldo Nazario,90,2073375,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Jay Okocha,90,463600,,,,,,,,,,,,,,,,,,,,,,,,,
Ruud Gullit,90,4180000,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Cantona,90,1467750,,,,,,,,,,,,,,,,,,,,,,,,,
Xavi,90,510150,,,,,,,,,,,,,,,,,,,,,,,,,
Davor Suker,90,502550,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Eto'o,90,1594100,,,,,,,,,,,,,,,,,,,,,,,,,
Nemanja Vidic,90,712500,,,,,,,,,,,,,,,,,,,,,,,,,
Didier Drogba,89,503500,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Sanchez,89,408500,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Rush,89,190950,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Wright,89,292600,,,,,,,,,,,,,,,,,,,,,,,,,
John Barnes,89,366700,,,,,,,,,,,,,,,,,,,,,,,,,
Gianluca Zambrotta,89,608000,,,,,,,,,,,,,,,,,,,,,,,,,
Kaka,89,589000,,,,,,,,,,,,,,,,,,,,,,,,,
Lev Yashin,89,251750,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin van der Sar,89,360050,,,,,,,,,,,,,,,,,,,,,,,,,
